import time: self [us] | cumulative | imported package
import time:      2421 |       2421 |                     numpy._typing._char_codes
import time:      1091 |       1091 |                     numpy._typing._scalars
import time:       705 |        705 |                     numpy._typing._shape
import time:      3766 |       3766 |                     numpy._typing._dtype_like
import time:      2969 |       2969 |                     numpy._typing._array_like
import time:       767 |        767 |                     numpy._typing._ufunc
import time:      1753 |      17342 |                   numpy._typing
import time:      3502 |      28439 |                 numpy.linalg._linalg
import time:      1604 |      31001 |               numpy.linalg
import time:      1224 |      32224 |             numpy.matrixlib.defmatrix
import time:      1326 |      33549 |           numpy.matrixlib
import time:      1665 |       1665 |             numpy.lib._histograms_impl
import time:      2966 |       4631 |           numpy.lib._function_base_impl
import time:      1309 |      39488 |         numpy.lib._index_tricks_impl
import time:      1800 |       1800 |         numpy.lib._nanfunctions_impl
import time:      1373 |       1373 |         numpy.lib._shape_base_impl
import time:      1734 |       1734 |         numpy.lib._arraysetops_impl
import time:      1710 |       1710 |         numpy.lib._polynomial_impl
import time:      1068 |       1068 |         numpy.lib._arrayterator_impl
import time:      1166 |       1166 |         numpy.lib._arraypad_impl
import time:       934 |        934 |         numpy.lib._version
import time:      2961 |      79905 |       numpy.lib
import time:      1178 |       1178 |       numpy._array_api_info
import time:      7186 |     204218 |     numpy
import time:      1593 |       1593 |       dateutil._version
import time:      1984 |       3576 |     dateutil
import time:      2101 |       2101 |         sysconfig
import time:      5218 |       5218 |           _socket
import time:      4878 |       4878 |             select
import time:      2985 |       7862 |           selectors
import time:        99 |         99 |           errno
import time:      2506 |      15683 |         socket
import time:    182089 |     199872 |       pandas.compat._constants
import time:      1628 |       1628 |           pandas.util
import time:      2994 |       4621 |         pandas.util.version
import time:      2545 |       7166 |       pandas.compat.numpy
import time:       401 |        401 |         pyarrow
import time:      1678 |       2078 |       pandas.compat.pyarrow
import time:      2725 |     211840 |     pandas.compat
import time:      1084 |       1084 |             numpy._typing._add_docstring
import time:      1339 |       2423 |           numpy.typing
import time:      2142 |       2142 |                 numpy.random._common
import time:       101 |        101 |                     binascii
import time:      1338 |       1438 |                   base64
import time:     25542 |      25542 |                     _hashlib
import time:       238 |        238 |                       _blake2
import time:      1782 |       2019 |                     hashlib
import time:      1412 |      28972 |                   hmac
import time:        56 |         56 |                       _bisect
import time:      1054 |       1110 |                     bisect
import time:       244 |        244 |                     _random
import time:       359 |        359 |                     _sha2
import time:      1839 |       3551 |                   random
import time:      1162 |      35122 |                 secrets
import time:      3071 |      40334 |               numpy.random.bit_generator
import time:      2127 |       2127 |                 numpy.random._bounded_integers
import time:      1322 |       1322 |                 numpy.random._mt19937
import time:      7032 |      10481 |               numpy.random.mtrand
import time:      1166 |       1166 |               numpy.random._philox
import time:      1355 |       1355 |               numpy.random._pcg64
import time:      1113 |       1113 |               numpy.random._sfc64
import time:      7301 |       7301 |               numpy.random._generator
import time:      1461 |      63209 |             numpy.random._pickle
import time:      1485 |      64693 |           numpy.random
import time:      3867 |      70982 |         pandas._typing
import time:        70 |         70 |                 _opcode
import time:      1213 |       1282 |               opcode
import time:      2125 |       3407 |             dis
import time:      2112 |       2112 |               importlib
import time:        86 |       2197 |             importlib.machinery
import time:      3661 |       9264 |           inspect
import time:      1575 |      10838 |         pandas.util._exceptions
import time:      1729 |      83549 |       pandas._config.config
import time:      1699 |       1699 |       pandas._config.dates
import time:        88 |         88 |           _locale
import time:      2174 |       2261 |         locale
import time:      1342 |       3603 |       pandas._config.display
import time:      1704 |      90553 |     pandas._config
import time:      1490 |       1490 |       pandas.core
import time:      2382 |       2382 |             pandas._libs.pandas_parser
import time:      1049 |       1049 |             pandas._libs.pandas_datetime
import time:       305 |        305 |               zlib
import time:      1497 |       1497 |                           pandas._libs._cyutility
import time:      1260 |       2757 |                         pandas._libs.tslibs.ccalendar
import time:      1344 |       1344 |                         pandas._libs.tslibs.np_datetime
import time:      3150 |       7251 |                       pandas._libs.tslibs.dtypes
import time:      1122 |       1122 |                         pandas._libs.tslibs.base
import time:      2931 |       2931 |                             pandas._libs.tslibs.nattype
import time:      1620 |       1620 |                                   zoneinfo._tzpath
import time:      1355 |       1355 |                                   zoneinfo._common
import time:      4219 |       4219 |                                   _zoneinfo
import time:      2012 |       9206 |                                 zoneinfo
import time:      1546 |       1546 |                                 pandas.compat._optional
import time:      1171 |       1171 |                                         importlib._abc
import time:       334 |       1505 |                                       importlib.util
import time:      2874 |       4378 |                                     six
import time:        61 |         61 |                                     six.moves
import time:      1015 |       1015 |                                     dateutil.tz._common
import time:      1131 |       1131 |                                     dateutil.tz._factories
import time:      1645 |       1645 |                                       ctypes.wintypes
import time:       964 |       2608 |                                     dateutil.tz.win
import time:      2416 |      11607 |                                   dateutil.tz.tz
import time:      2642 |      14248 |                                 dateutil.tz
import time:      1309 |       1309 |                                 pytz.exceptions
import time:      1024 |       1024 |                                 pytz.lazy
import time:      1140 |       1140 |                                 pytz.tzinfo
import time:       725 |        725 |                                 pytz.tzfile
import time:      5736 |      34932 |                               pandas._libs.tslibs.timezones
import time:      1396 |       1396 |                                 pandas._libs.properties
import time:      1398 |       2794 |                               pandas.util._decorators
import time:      1635 |       1635 |                                   calendar
import time:      2241 |       3875 |                                 _strptime
import time:      1344 |       1344 |                                     signal
import time:       384 |        384 |                                     fcntl
import time:        55 |         55 |                                     msvcrt
import time:      1877 |       3659 |                                   subprocess
import time:      1366 |       5024 |                                 pandas._config.localization
import time:      2444 |      11343 |                               pandas._libs.tslibs.fields
import time:      4321 |      53389 |                             pandas._libs.tslibs.timedeltas
import time:      2302 |       2302 |                             pandas._libs.tslibs.tzconversion
import time:      4474 |      63095 |                           pandas._libs.tslibs.timestamps
import time:       952 |        952 |                           dateutil.easter
import time:      7540 |      71586 |                         pandas._libs.tslibs.offsets
import time:      5187 |       5187 |                             _decimal
import time:       914 |       6101 |                           decimal
import time:       880 |        880 |                               dateutil._common
import time:      3039 |       3919 |                             dateutil.parser._parser
import time:       938 |        938 |                             dateutil.parser.isoparser
import time:      1595 |       6451 |                           dateutil.parser
import time:      3027 |       3027 |                           pandas._libs.tslibs.strptime
import time:      2785 |      18362 |                         pandas._libs.tslibs.parsing
import time:      2065 |      93133 |                       pandas._libs.tslibs.conversion
import time:      3408 |       3408 |                       pandas._libs.tslibs.period
import time:      1533 |       1533 |                       pandas._libs.tslibs.vectorized
import time:      1484 |     106807 |                     pandas._libs.tslibs
import time:        49 |     106855 |                   pandas._libs.tslibs.nattype
import time:      1256 |       1256 |                   pandas._libs.ops_dispatch
import time:      3846 |     111957 |                 pandas._libs.missing
import time:      7116 |     119072 |               pandas._libs.hashtable
import time:      4846 |       4846 |               pandas._libs.algos
import time:      4278 |     128501 |             pandas._libs.interval
import time:      1561 |     133492 |           pandas._libs
import time:        46 |     133537 |         pandas._libs.tslibs
import time:      2433 |     135970 |       pandas.errors
import time:      2314 |     139773 |     pandas.core.config_init
import time:      1289 |       1289 |         pandas.core.dtypes
import time:       425 |        425 |           pyarrow
import time:      3995 |       4420 |         pandas._libs.lib
import time:      1442 |       1442 |           pandas.core.dtypes.generic
import time:      1420 |       2862 |         pandas.core.dtypes.base
import time:       927 |        927 |         pandas.core.dtypes.inference
import time:      3289 |      12785 |       pandas.core.dtypes.dtypes
import time:      1591 |       1591 |         pandas.core.dtypes.common
import time:      1171 |       2761 |       pandas.core.dtypes.missing
import time:      1507 |       1507 |             pandas.io
import time:      1367 |       2874 |           pandas.io._util
import time:      1714 |       4587 |         pandas.core.dtypes.cast
import time:       863 |        863 |           pandas.core.dtypes.astype
import time:      1099 |       1962 |         pandas.core.dtypes.concat
import time:      1670 |       1670 |           pandas.core.array_algos
import time:      6061 |       6061 |               numpy.ma.core
import time:      2540 |       2540 |               numpy.ma.extras
import time:      1859 |      10459 |             numpy.ma
import time:      1163 |       1163 |               pandas.core.col
import time:      1745 |       2908 |             pandas.core.common
import time:      1342 |      14708 |           pandas.core.construction
import time:      1319 |      17696 |         pandas.core.array_algos.take
import time:      1582 |       1582 |           pandas.core.indexers.utils
import time:      1628 |       3210 |         pandas.core.indexers
import time:      1267 |      28719 |       pandas.core.algorithms
import time:      1542 |       1542 |           pandas.core.arrays.arrow.accessors
import time:       408 |        408 |                   posix
import time:       109 |        517 |                 posixpath
import time:      1648 |       2164 |               fnmatch
import time:       674 |        674 |                 urllib
import time:      1959 |       1959 |                 ipaddress
import time:      2284 |       4917 |               urllib.parse
import time:      1968 |       9048 |             pathlib
import time:      4947 |       4947 |             unicodedata
import time:      1542 |       1542 |             pandas.core.missing
import time:      1490 |       1490 |                 pandas._libs.ops
import time:      1135 |       1135 |                 pandas.core.roperator
import time:      1800 |       1800 |                 pandas.core.computation
import time:      1290 |       1290 |                   pandas.core.computation.check
import time:      1251 |       2541 |                 pandas.core.computation.expressions
import time:       885 |        885 |                 pandas.core.ops.missing
import time:       904 |        904 |                 pandas.core.ops.dispatch
