import time: self [us] | cumulative | imported package
import time:      4054 |       4054 |                     numpy._typing._char_codes
import time:      1623 |       1623 |                     numpy._typing._scalars
import time:      1651 |       1651 |                     numpy._typing._shape
import time:      5562 |       5562 |                     numpy._typing._dtype_like
import time:      4564 |       4564 |                     numpy._typing._array_like
import time:      1385 |       1385 |                     numpy._typing._ufunc
import time:      1769 |      25441 |                   numpy._typing
import time:      4864 |      38895 |                 numpy.linalg._linalg
import time:      1261 |      41337 |               numpy.linalg
import time:      1891 |      43228 |             numpy.matrixlib.defmatrix
import time:      1515 |      44742 |           numpy.matrixlib
import time:      1390 |       1390 |             numpy.lib._histograms_impl
import time:      3271 |       4660 |           numpy.lib._function_base_impl
import time:      2096 |      51498 |         numpy.lib._index_tricks_impl
import time:      1928 |       1928 |         numpy.lib._nanfunctions_impl
import time:      1793 |       1793 |         numpy.lib._shape_base_impl
import time:      2532 |       2532 |         numpy.lib._arraysetops_impl
import time:      1878 |       1878 |         numpy.lib._polynomial_impl
import time:      1333 |       1333 |         numpy.lib._arrayterator_impl
import time:      1770 |       1770 |         numpy.lib._arraypad_impl
import time:      1352 |       1352 |         numpy.lib._version
import time:      2336 |      91642 |       numpy.lib
import time:      1033 |       1033 |       numpy._array_api_info
import time:      4294 |     201261 |     numpy
import time:      1147 |       1147 |       dateutil._version
import time:      1355 |       2501 |     dateutil
import time:      2507 |       2507 |         sysconfig
import time:      4304 |       4304 |           _socket
import time:      1948 |       1948 |             select
import time:      2616 |       4564 |           selectors
import time:       155 |        155 |           errno
import time:      3514 |      12536 |         socket
import time:    228311 |     243353 |       pandas.compat._constants
import time:      1441 |       1441 |           pandas.util
import time:      4758 |       6198 |         pandas.util.version
import time:      1928 |       8125 |       pandas.compat.numpy
import time:       798 |        798 |         pyarrow
import time:      1944 |       2741 |       pandas.compat.pyarrow
import time:      1386 |     255603 |     pandas.compat
import time:      2066 |       2066 |             numpy._typing._add_docstring
import time:      1243 |       3308 |           numpy.typing
import time:      1409 |       1409 |                 numpy.random._common
import time:       277 |        277 |                     binascii
import time:      2034 |       2311 |                   base64
import time:      4908 |       4908 |                     _hashlib
import time:       164 |        164 |                       _blake2
import time:      3318 |       3482 |                     hashlib
import time:      1599 |       9988 |                   hmac
import time:       115 |        115 |                       _bisect
import time:      1667 |       1782 |                     bisect
import time:        85 |         85 |                     _random
import time:        76 |         76 |                     _sha2
import time:      2335 |       4277 |                   random
import time:      1987 |      18561 |                 secrets
import time:      1557 |      21525 |               numpy.random.bit_generator
import time:      1915 |       1915 |                 numpy.random._bounded_integers
import time:      2083 |       2083 |                 numpy.random._mt19937
import time:      2684 |       6681 |               numpy.random.mtrand
import time:      1364 |       1364 |               numpy.random._philox
import time:      1156 |       1156 |               numpy.random._pcg64
import time:       916 |        916 |               numpy.random._sfc64
import time:      3313 |       3313 |               numpy.random._generator
import time:      1688 |      36640 |             numpy.random._pickle
import time:      1559 |      38198 |           numpy.random
import time:      7225 |      48730 |         pandas._typing
import time:       143 |        143 |                 _opcode
import time:      2581 |       2723 |               opcode
import time:      3019 |       5741 |             dis
import time:      2438 |       2438 |               importlib
import time:       245 |       2683 |             importlib.machinery
import time:      7536 |      15959 |           inspect
import time:      2080 |      18039 |         pandas.util._exceptions
import time:      2522 |      69290 |       pandas._config.config
import time:      2374 |       2374 |       pandas._config.dates
import time:       208 |        208 |           _locale
import time:      3137 |       3345 |         locale
import time:      1429 |       4773 |       pandas._config.display
import time:      1417 |      77853 |     pandas._config
import time:      1648 |       1648 |       pandas.core
import time:      1881 |       1881 |             pandas._libs.pandas_parser
import time:       936 |        936 |             pandas._libs.pandas_datetime
import time:       215 |        215 |               zlib
import time:      1209 |       1209 |                           pandas._libs._cyutility
import time:      1207 |       2416 |                         pandas._libs.tslibs.ccalendar
import time:      1337 |       1337 |                         pandas._libs.tslibs.np_datetime
import time:      3773 |       7525 |                       pandas._libs.tslibs.dtypes
import time:      1673 |       1673 |                         pandas._libs.tslibs.base
import time:      1906 |       1906 |                             pandas._libs.tslibs.nattype
import time:      1885 |       1885 |                                   zoneinfo._tzpath
import time:      1558 |       1558 |                                   zoneinfo._common
import time:      2397 |       2397 |                                   _zoneinfo
import time:      2117 |       7956 |                                 zoneinfo
import time:      1861 |       1861 |                                 pandas.compat._optional
import time:      2358 |       2358 |                                         importlib._abc
import time:       396 |       2754 |                                       importlib.util
import time:      4566 |       7319 |                                     six
import time:       131 |        131 |                                     six.moves
import time:      1781 |       1781 |                                     dateutil.tz._common
import time:      2531 |       2531 |                                     dateutil.tz._factories
import time:      2830 |       2830 |                                       ctypes.wintypes
import time:      1951 |       4780 |                                     dateutil.tz.win
import time:      3302 |      19842 |                                   dateutil.tz.tz
import time:      2084 |      21926 |                                 dateutil.tz
import time:      2041 |       2041 |                                 pytz.exceptions
import time:      2387 |       2387 |                                 pytz.lazy
import time:      1566 |       1566 |                                 pytz.tzinfo
import time:      1421 |       1421 |                                 pytz.tzfile
import time:      6079 |      45234 |                               pandas._libs.tslibs.timezones
import time:      1245 |       1245 |                                 pandas._libs.properties
import time:      1758 |       3002 |                               pandas.util._decorators
import time:      3153 |       3153 |                                   calendar
import time:      4134 |       7287 |                                 _strptime
import time:      2442 |       2442 |                                     signal
import time:       851 |        851 |                                     fcntl
import time:       131 |        131 |                                     msvcrt
import time:      3602 |       7024 |                                   subprocess
import time:      1718 |       8742 |                                 pandas._config.localization
import time:      1895 |      17923 |                               pandas._libs.tslibs.fields
import time:      2968 |      69126 |                             pandas._libs.tslibs.timedeltas
import time:      1764 |       1764 |                             pandas._libs.tslibs.tzconversion
import time:      2950 |      75745 |                           pandas._libs.tslibs.timestamps
import time:      1286 |       1286 |                           dateutil.easter
import time:      5266 |      82295 |                         pandas._libs.tslibs.offsets
import time:      3114 |       3114 |                             _decimal
import time:      1751 |       4864 |                           decimal
import time:      1668 |       1668 |                               dateutil._common
import time:      5446 |       7113 |                             dateutil.parser._parser
import time:      2131 |       2131 |                             dateutil.parser.isoparser
import time:      1980 |      11223 |                           dateutil.parser
import time:      2547 |       2547 |                           pandas._libs.tslibs.strptime
import time:      2051 |      20684 |                         pandas._libs.tslibs.parsing
import time:      1928 |     106580 |                       pandas._libs.tslibs.conversion
import time:      2476 |       2476 |                       pandas._libs.tslibs.period
import time:      1798 |       1798 |                       pandas._libs.tslibs.vectorized
import time:      2232 |     120610 |                     pandas._libs.tslibs
import time:       196 |     120805 |                   pandas._libs.tslibs.nattype
import time:      1134 |       1134 |                   pandas._libs.ops_dispatch
import time:      3851 |     125790 |                 pandas._libs.missing
import time:      3705 |     129494 |               pandas._libs.hashtable
import time:      2745 |       2745 |               pandas._libs.algos
import time:      2240 |     134692 |             pandas._libs.interval
import time:      1320 |     138828 |           pandas._libs
import time:        91 |     138918 |         pandas._libs.tslibs
import time:      2354 |     141271 |       pandas.errors
import time:      3198 |     146116 |     pandas.core.config_init
import time:      1384 |       1384 |         pandas.core.dtypes
import time:      1103 |       1103 |           pyarrow
import time:      3150 |       4252 |         pandas._libs.lib
import time:      1943 |       1943 |           pandas.core.dtypes.generic
import time:      1855 |       3797 |         pandas.core.dtypes.base
import time:      1617 |       1617 |         pandas.core.dtypes.inference
import time:      5867 |      16915 |       pandas.core.dtypes.dtypes
import time:      1947 |       1947 |         pandas.core.dtypes.common
import time:      1533 |       3479 |       pandas.core.dtypes.missing
import time:      1382 |       1382 |             pandas.io
import time:      1734 |       3115 |           pandas.io._util
import time:      2322 |       5436 |         pandas.core.dtypes.cast
import time:      1598 |       1598 |           pandas.core.dtypes.astype
import time:      1161 |       2759 |         pandas.core.dtypes.concat
import time:      1399 |       1399 |           pandas.core.array_algos
import time:      7925 |       7925 |               numpy.ma.core
import time:      3358 |       3358 |               numpy.ma.extras
import time:      1500 |      12783 |             numpy.ma
import time:      1930 |       1930 |               pandas.core.col
import time:      3179 |       5108 |             pandas.core.common
import time:      1575 |      19464 |           pandas.core.construction
import time:      2338 |      23200 |         pandas.core.array_algos.take
import time:      2000 |       2000 |           pandas.core.indexers.utils
import time:      2336 |       4335 |         pandas.core.indexers
import time:      2015 |      37744 |       pandas.core.algorithms
import time:      2386 |       2386 |           pandas.core.arrays.arrow.accessors
import time:      1011 |       1011 |                   posix
import time:       228 |       1239 |                 posixpath
import time:      1673 |       2912 |               fnmatch
import time:      1512 |       1512 |                 urllib
import time:      4409 |       4409 |                 ipaddress
import time:      4110 |      10030 |               urllib.parse
import time:      4434 |      17374 |             pathlib
import time:      3936 |       3936 |             unicodedata
import time:      2224 |       2224 |             pandas.core.missing
import time:      1506 |       1506 |                 pandas._libs.ops
import time:      1675 |       1675 |                 pandas.core.roperator
import time:      1569 |       1569 |                 pandas.core.computation
import time:      3125 |       3125 |                   pandas.core.computation.check
import time:      2093 |       5217 |                 pandas.core.computation.expressions
import time:      1196 |       1196 |                 pandas.core.ops.missing
import time:      1372 |       1372 |                 pandas.core.ops.dispatch
import time:      1669 |       1669 |                 pandas.core.ops.invalid
import time:      2715 |      16917 |               pandas.core.ops.array_ops
import time:      1630 |       1630 |               pandas.core.ops.common
import time:      1458 |       1458 |               pandas.core.ops.docstrings
import time:      1630 |       1630 |               pandas.core.ops.mask_ops
import time:      1982 |      23614 |             pandas.core.ops
import time:      2573 |       2573 |             pandas.core.arraylike
import time:      2958 |       2958 |             pandas.core.arrays._arrow_string_mixins
import time:      1610 |       1610 |             pandas.core.arrays._utils
import time:      2130 |       2130 |                 pandas.util._validators
import time:      2172 |       4302 |               pandas.compat.numpy.function
import time:      1567 |       1567 |               pandas.core.array_algos.quantile
import time:      3690 |       3690 |               pandas.core.sorting
import time:      2843 |      12401 |             pandas.core.arrays.base
import time:      4575 |       4575 |               pandas.core.nanops
import time:      1509 |       1509 |               pandas.core.array_algos.masked_accumulations
import time:      1436 |       1436 |               pandas.core.array_algos.masked_reductions
import time:      1283 |       1283 |               pandas.core.array_algos.transforms
import time:      2990 |       2990 |                 pandas.core.util
import time:      1595 |       1595 |                 pandas._libs.hashing
import time:      2365 |       6949 |               pandas.core.util.hashing
import time:      3203 |      18953 |             pandas.core.arrays.masked
import time:      1734 |       1734 |               pandas._libs.arrays
import time:      3372 |       3372 |                 pandas.core.arrays.numeric
import time:      2375 |       5747 |               pandas.core.arrays.floating
import time:      2317 |       2317 |               pandas.core.arrays.integer
import time:      2835 |       2835 |                 pandas.core.arrays._mixins
import time:      1486 |       1486 |                   pandas.core.strings
import time:      2117 |       3603 |                 pandas.core.strings.object_array
import time:      3310 |       9746 |               pandas.core.arrays.numpy_
import time:      1198 |       1198 |               pandas.io.formats
import time:      1440 |       1440 |                       _compression
import time:      1806 |       1806 |                       _bz2
import time:      1738 |       4983 |                     bz2
import time:      1692 |       1692 |                       _lzma
import time:      1913 |       3604 |                     lzma
import time:      2821 |      11407 |                   shutil
import time:      1706 |      13112 |                 pandas.io.formats.console
import time:      2384 |      15495 |               pandas.io.formats.printing
import time:      3053 |      39288 |             pandas.core.arrays.string_
import time:      1664 |       1664 |               pandas.tseries
import time:      2688 |       4352 |             pandas.tseries.frequencies
import time:      5325 |     134603 |           pandas.core.arrays.arrow.array
import time:      2652 |     139640 |         pandas.core.arrays.arrow
import time:      2032 |       2032 |         pandas.core.arrays.boolean
import time:       223 |        223 |             _csv
import time:      2057 |       2279 |           csv
import time:      1364 |       1364 |           pandas.core.accessor
import time:      2096 |       2096 |           pandas.core.base
import time:      3066 |       8804 |         pandas.core.arrays.categorical
import time:      2045 |       2045 |           pandas._libs.tslib
import time:      1431 |       1431 |             pandas.core.array_algos.datetimelike_accumulations
import time:      3402 |       4833 |           pandas.core.arrays.datetimelike
import time:      1606 |       1606 |           pandas.core.arrays._ranges
import time:      1663 |       1663 |           pandas.tseries.offsets
import time:      2916 |      13060 |         pandas.core.arrays.datetimes
import time:      2270 |       2270 |           pandas.core.arrays.timedeltas
import time:      3207 |       5476 |         pandas.core.arrays.interval
import time:      3254 |       3254 |         pandas.core.arrays.period
import time:      2729 |       2729 |               pandas._libs.sparse
import time:      2243 |       4972 |             pandas.core.arrays.sparse.array
import time:      1935 |       6907 |           pandas.core.arrays.sparse.accessor
import time:      1695 |       8601 |         pandas.core.arrays.sparse
import time:      2351 |       2351 |         pandas.core.arrays.string_arrow
import time:      2508 |     185724 |       pandas.core.arrays
import time:      1614 |       1614 |       pandas.core.flags
import time:      2055 |       2055 |             copy
import time:      3126 |       5180 |           dataclasses
import time:      2435 |       2435 |             pandas._libs.internals
import time:      1506 |       1506 |               pandas.core._numba
import time:      1990 |       1990 |               pandas.core.util.numba_
import time:      2000 |       5495 |             pandas.core._numba.executor
import time:      2978 |      10906 |           pandas.core.apply
import time:      2063 |       2063 |             pandas.errors.cow
import time:       172 |        172 |                     _json
import time:      2206 |       2377 |                   json.scanner
import time:      2546 |       4923 |                 json.decoder
import time:      2367 |       2367 |                 json.encoder
import time:      2799 |      10089 |               json
import time:      2175 |       2175 |                 pandas._libs.indexing
import time:      1495 |       1495 |                   pandas.core.indexes
